Updated,"Database last updated on April 1, 2018"
ISDR,1.21M
CIVB,9.00M
MARPS,1.61M
GCBC,3.28M
UBCP,4.73M
AGM,8.85M
SHSP,4.61M
SIF,2.46M
ACER,2.00M
LTRX,8.54M
NRCIB,1.46M
POPE,2.56M
BYSI,3.47M
VRTA,1.01M
LTRE,3.88M
TAX,8.61M
ZSAN,1.70M
ARTNA,8.00M
SPA,9.54M
VRTS,6.86M
SCX,5.29M
MSON,6.33M
TAYD,3.01M
FLXS,7.34M
SSKN,4.07M
CLWT,913K
PBHC,3.05M
HMG,275K
SBFG,5.59M
PRPO,8.78M
EBMT,4.32M
BGSF,7.19M
VLRX,1.76M
RICK,8.98M
AMCF,4.92M
WILC,4.10M
USEG,2.98M
BOXL,1.49M
JBSS,6.96M
EVK,4.22M
LPTX,4.34M
CRTN,6.11M
OVLY,5.99M
EMCF,1.88M
IZEA,4.56M
SLCT,8.82M
CMT,7.27M
GAIA,9.23M
CODX,6.74M
SGRP,8.32M
FEIM,6.87M
ANFI,9.66M
NVUS,3.97M
TKAT,7.27M
IGLD,7.54M
LOAN,5.49M
PFIN,2.10M
NSEC,1.18M
MSTR,9.41M
ELSE,1.64M
USLM,2.02M
TWIN,8.42M
VBFC,631K
PFIS,6.78M
PEBK,4.60M
BCRH,6.25M
TRCB,7.16M
NAKD,9.18M
COOL,4.40M
CNBKA,2.83M
INS,5.14M
TENX,1.19M
ALOT,5.68M
MXC,1.05M
WVVI,3.69M
HWBK,5.21M
CIZN,3.83M
ABAC,4.06M
WEBK,1.90M
GWGH,1.43M
FSBW,2.94M
FC,9.47M
POLA,2.82M
HURC,6.28M
CYAN,3.81M
EDUC,3.11M
WHF,7.09M
WHG,8.03M
UBOH,2.55M
VSEC,8.54M
ARTW,1.88M
YECO,1.09M
ASPU,8.69M
NATH,2.89M
POWL,8.64M
ASPS,8.69M
ELLO,3.30M
ATEC,4.14M
CVR,726K
ESBK,1.71M
UAHC,6.08M
MVO,8.63M
MARA,8.02M
EVBN,4.60M
PLPC,2.44M
ORM,9.58M
ALX,2.10M
BKYI,5.08M
ALT,8.00M
MGYR,2.40M
USAK,6.21M
OXBR,3.99M
FFNW,8.04M
QRHC,5.63M
MJCO,5.44M
MYOS,3.70M
CAW,4.76M
FMBH,9.24M
MOTS,3.34M
CSSE,3.47M
USAP,6.73M
RKDA,542K
BELFA,1.68M
RCG,4.10M
PLBC,3.98M
SOFO,3.37M
BELFB,9.27M
CELP,4.39M
PTSI,2.22M
BRBI,3.01M
HIHO,2.55M
IIN,5.88M
CBLI,4.79M
FORK,4.40M
NSYS,1.28M
VLGEA,7.89M
RXII,2.02M
FTNW,1.16M
UNTY,7.58M
ORPN,2.37M
FORD,5.68M
WLFC,3.40M
BAND,3.90M
BVSN,3.25M
GRIF,2.68M
STND,2.47M
UG,2.83M
DTRM,9.49M
SAMG,6.79M
SMBK,9.90M
TCCO,1.46M
NAOV,2.65M
LSBK,2.22M
RGCO,6.26M
GENC,8.72M
IFMK,1.99M
LLIT,5.09M
PBIP,7.53M
LINU,7.62M
MICT,3.87M
FSFG,1.62M
MICR,1.74M
RBCAA,9.33M
GPIC,2.59M
WHLM,3.46M
GHC,4.44M
MSBF,4.79M
GHM,9.49M
DKL,8.44M
NWFL,5.41M
GLBZ,2.17M
IPDN,141K
SAM,8.48M
SAL,2.26M
ASTC,3.47M
RELV,1.17M
AOI,8.20M
SMIT,2.88M
ACMR,9.61M
JOB,9.08M
VALU,1.06M
SAR,3.28M
WTM,3.51M
DZSI,5.76M
UNAM,2.44M
OBLN,7.95M
TPL,7.76M
MFSF,6.04M
RMCF,5.24M
MAYS,403K
DGSE,7.61M
CHFS,1.41M
WVFC,1.49M
BASI,6.93M
ATV,2.68M
BWINA,1.13M
ICCC,3.89M
AMRK,3.98M
FRPH,6.69M
ROSG,5.92M
QUMU,8.89M
ORBT,4.30M
AMRB,5.34M
CNFR,3.86M
MMAC,4.59M
FUV,8.32M
OCC,5.01M
WSCI,2.34M
STAF,2.15M
OCX,8.36M
ISNS,4.16M
PKBK,5.96M
CZWI,5.20M
OPGN,4.55M
BMRC,6.17M
SGMA,3.73M
CHNR,9.45M
CEI,2.57M
NTWK,9.85M
OBAS,1.42M
GFED,3.01M
TCFC,4.75M
CCUR,6.89M
SEII,3.43M
HSKA,6.55M
AVGR,856K
CNET,7.60M
DLA,5.93M
EVOL,8.61M
AFCB,1.75M
MRAM,9.12M
CIWV,1.83M
ATXI,6.45M
CWBC,5.52M
CSS,8.84M
SIMC,6.46M
SSY,4.88M
CLDC,7.31M
PROV,5.70M
CBAN,6.18M
BBGI,5.98M
SKBI,7.47M
LARK,3.01M
OGEN,1.39M
NRT,9.15M
CREG,4.06M
MFNC,4.68M
OTEL,2.47M
DYNT,4.80M
MCBK,2.60M
MLAB,3.30M
EVI,3.20M
EMCI,8.95M
HFBC,5.79M
PLXP,7.50M
RFIL,7.52M
PHII,611K
ELON,3.88M
AAME,4.15M
PMD,5.02M
TSBK,6.33M
AAMC,728K
ALQA,3.70M
LBIX,2.10M
EFOI,8.80M
CSBR,4.28M
SEB,261K
BKSC,3.35M
NHLD,5.11M
AVNW,4.82M
IRMD,4.48M
FRD,6.84M
CARV,1.37M
FCRE,9.34M
CART,3.74M
UNB,3.47M
FSTR,9.56M
TLF,8.87M
DFBG,8.71M
FCNCA,6.39M
AETI,5.37M
ODC,4.96M
IKNX,1.13M
RMGN,5.46M
ITIC,1.38M
ASFI,1.92M
MNGA,1.67M
LBCC,4.96M
NPK,4.90M
ALCO,7.31M
DL,2.76M
OLBK,9.82M
AUBN,2.35M
MDGL,6.65M
TNTR,8.77M
SINO,7.04M
CADC,1.46M
PPSI,3.33M
ABIL,9.39M
PATI,2.16M
SAEX,8.49M
NKSH,6.69M
JOUT,8.13M
BOTJ,3.93M
CALI,1.44M
TEAR,7.35M
PNBC,3.28M
INTG,865K
NTN,1.65M
ENFC,6.64M
XOMA,7.53M
FSAM,7.49M
LENS,4.40M
INTT,8.18M
MLP,6.61M
UAVS,6.54M
CYBE,6.71M
VERI,5.42M
HFBL,1.32M
CCCL,2.61M
PRCP,9.13M
UHAL,7.93M
KEQU,2.34M
AIRG,7.55M
NWPX,9.36M
MCB,5.65M
CRAI,7.75M
GIGM,6.76M
NICK,7.12M
AIRT,1.23M
PKOH,8.61M
LCNB,9.49M
NRP,7.08M
GIGA,7.65M
AMNB,8.07M
TESS,6.27M
AXR,3.05M
BSTC,5.25M
WSTG,3.36M
HIFS,1.30M
BGI,4.16M
FNLC,9.48M
CVCO,8.48M
ULBI,8.80M
CKX,1.48M
UTMD,3.40M
AWX,963K
PWOD,4.52M
CFNB,1.69M
DVCR,2.76M
LIVE,1.78M
OHGI,7.94M
SCWX,7.54M
CNAF,2.85M
FCAP,3.17M
EQS,4.76M
CETX,5.84M
XBIO,2.27M
NAII,5.37M
FNKO,4.24M
CSPI,2.95M
NYNY,1.89M
TIS,9.44M
OVBC,3.79M
BOSC,2.78M
SLNO,9.82M
SPEX,6.13M
NWLI,2.26M
TAIT,2.96M
GWRS,8.06M
IHT,2.32M
UUU,2.07M
ISTR,8.77M
VNCE,3.07M
INBK,7.94M
IHC,4.91M
PMTS,4.06M
SYNL,7.91M
KED,9.20M
CRMT,6.54M
KALV,5.11M
CRT,6.00M
AEY,4.40M
EML,5.91M
GBL,8.45M
PDEX,3.19M
SKY,6.93M
GBR,2.24M
LWAY,5.02M
CLBS,7.05M
FBSI,1.48M
PW,1.23M
TCX,8.06M
OPOF,3.95M
MTEX,1.75M
ETRM,9.14M
CLCT,7.79M
DARE,4.72M
TCI,1.07M
HWKN,9.68M
CTXR,3.68M
FBSS,3.57M
WAYN,2.40M
NFEC,3.70M
MHH,1.39M
INPX,1.61M
KTCC,9.99M
FUNC,6.75M
JFBC,3.75M
EBTC,8.14M
SVBI,9.05M
NVR,3.45M
UCBA,3.56M
MELR,2.08M
WINS,1.83M
KBSF,758K
GLMD,7.98M
STRT,3.57M
QADB,769K
STRI,7.63M
CBIO,5.17M
FRSH,8.50M
AINC,896K
MOC,4.20M
ASUR,9.66M
OPHC,682K
WINA,2.46M
ANY,3.89M
BSPM,2.15M
LFIN,6.79M
FSI,7.00M
ATLO,8.53M
DAVE,6.53M
FDEF,9.80M
PED,1.66M
TRNS,6.72M
PNTR,5.07M
REXX,9.13M
HCI,7.68M
TORM,2.08M
CASH,8.63M
OMEX,6.50M
SNFCA,7.28M
BLFS,6.94M
EMMS,9.89M
RIOT,8.58M
ATRI,1.42M
ATRM,2.23M
SMMF,9.71M
NVEE,8.02M
NVEC,4.75M
SORL,7.95M
IEC,8.96M
WRLD,8.88M
KOSS,1.46M
UFPT,6.41M
BLMT,8.16M
PYDS,8.29M
RLJE,2.65M
STRS,6.45M
SRLP,8.78M
SGBX,3.03M
FFKT,7.27M
GYRO,1.30M
SFBC,2.07M
ARCT,6.04M
IFON,531K
CVV,5.17M
ACNB,6.72M
CVU,8.25M
OFED,1.37M
OPY,9.04M
ICBK,5.07M
TBNK,8.22M
BYFC,8.09M
DIT,266K
BXC,8.78M
IDSA,4.30M
ARCI,4.71M
LEDS,1.54M
PPIH,5.87M
NSPR,1.47M
EMITF,9.19M
BWFG,5.91M
NRIM,6.71M
MFCO,2.24M
NGVC,8.93M
TZOO,4.90M
RGSE,8.93M
JCS,6.54M
KONA,8.02M
NETE,2.63M
TACT,6.85M
VVPR,3.75M
APHB,8.62M
LEVB,5.21M
BRID,1.63M
RCKY,6.66M
PRSS,7.07M
BNSO,1.52M
PNBK,1.49M
ARDM,9.47M
PXS,3.66M
LMFA,3.69M
ESEA,6.05M
ACST,3.89M
SNGX,7.74M
ARL,1.91M
NSFC,3.67M
HBK,2.98M
BH,2.03M
REX,5.75M
HMNY,9.04M
BLIN,3.18M
HMNF,3.54M
NAP,8.77M
FFHL,1.13M
MTBC,5.39M
TIK,1.33M
SGOC,5.85M
PIXY,3.56M
CCF,7.16M
SVT,1.06M
ANIP,8.66M
PIH,5.32M
HCAP,5.70M
IROQ,3.06M
RVP,8.76M
MYO,8.27M
LYL,1.91M
APEN,1.42M
SENEA,6.48M
SENEB,580K
AQB,4.69M
NDRA,3.36M
ORRF,7.86M
HCOM,8.45M
WLDN,8.00M
YOGA,4.18M
JVA,5.05M
DWCH,10.00M
SCON,9.52M
BWINB,9.13M
NTRP,5.90M
NCBS,8.44M
PRAN,8.90M
BURG,2.65M
HY,7.59M
TREE,7.36M
ARGS,4.97M
ELMD,6.79M
APWC,2.68M
CPHC,2.59M
LAKE,7.53M
METC,5.43M
BYBK,6.57M
EEI,2.59M
HTBX,3.97M
DGLT,5.72M
SFST,6.67M
CTIB,1.82M
FONR,6.09M
SSFN,7.27M
CTO,5.41M
ATLC,5.21M
OSS,7.78M
VTVT,6.96M
CVLY,8.57M
KINS,8.98M
OSN,7.42M
AMS,3.54M
TNXP,7.58M
DAIO,6.93M
YTEN,7.14M
SLS,2.51M
DHIL,3.27M
BDL,845K
CFFI,3.27M
CPAH,2.25M
BDR,4.76M
AMDA,3.02M
TRT,2.34M
BERK,4.24M
MPB,4.55M
CINR,4.95M
PRPH,8.31M
SPCB,7.71M
PCMI,9.07M
MDLY,5.15M
FBIZ,8.18M
WEYS,5.38M
UFAB,6.76M
CZFC,2.25M
THST,3.80M
NEN,1.74M
RAND,4.06M
CABO,4.41M
MLVF,6.32M
ZEUS,9.24M
GLBS,9.29M
GLBR,4.80M
SILC,5.47M
ACU,2.99M
ELTK,881K
ACY,1.05M
NEU,9.18M
JCTCF,1.06M
GEMP,8.07M
NL,8.25M
OBCI,3.48M
MYND,2.59M
FFDF,1.00M
NC,2.89M
FTFT,4.01M
BKJ,5.08M
ISIG,6.81M
HBCP,7.67M
NBN,6.54M
QBAK,1.20M
EAST,3.65M
LAWS,6.77M
SBBX,6.96M
XELB,8.49M
FPAY,3.99M
ACHV,5.60M
BREW,9.62M
CHCI,1.74M
ESSA,9.48M
DNBF,3.22M
AZRX,5.25M
CUO,485K
PRTO,7.69M
NTIC,3.78M
LGL,1.35M
SMLR,2.67M
REIS,8.48M
SRTS,8.02M
MAMS,8.83M
BRT,7.16M
PTIE,4.22M
HEBT,3.56M
NAUH,7.59M
BRN,4.05M
SSTI,5.01M
LEU,5.41M
DJCO,979K
TATT,3.55M
ANCB,2.14M
SCKT,5.03M
KOOL,4.00M
NEWA,5.20M
ESMC,7.41M
DXR,703K
BBSI,7.00M
NURO,7.02M
MTSL,1.62M
CIX,1.61M
SRAX,5.84M
DGLY,5.88M
KFFB,3.29M
AMOT,7.26M
WMLP,1.04M
EIGR,6.14M
SBOT,8.50M
SMBC,7.20M
PLSE,4.47M
JTPY,6.79M
SGA,4.94M
SSBI,4.46M
SGC,8.47M
SGB,1.92M
ARKR,1.85M
PETZ,4.95M
PBSK,2.91M
AC,4.40M
AE,2.21M
JXSB,1.42M
ESP,1.47M
COKE,4.66M
FCCY,6.59M
AEZS,9.88M
TSRI,981K
AP,9.01M
DCAR,5.47M
DELT,4.20M
ISRL,734K
FCCO,7.04M
MOSY,7.80M
TNH,4.61M
AHPI,2.23M
SNOA,3.88M
SELF,7.17M
PFBI,8.44M
DLHC,8.66M
PNRG,335K
PFBX,2.99M
